Timestamp,OfferedLoad,RngRun,FlowSrc,FlowDst,Throughput,Delay
2021-05-24 22:05,1,1,10.1.4.4,10.1.4.1,0.971762,0.00182343
2021-05-24 22:05,1,1,10.1.5.2,10.1.5.1,0.586163,0.330028
2021-05-24 22:05,1,1,10.1.7.10,10.1.7.1,0.937025,0.0603193
2021-05-24 22:05,1,1,10.1.4.3,10.1.4.1,0.963614,0.0115865
2021-05-24 22:05,1,1,10.1.2.10,10.1.2.1,0.18338,0.362976
2021-05-24 22:05,1,1,10.1.12.3,10.1.12.1,0.926517,0.035861
2021-05-24 22:05,1,1,10.1.12.10,10.1.12.1,0.949932,0.0215125
2021-05-24 22:05,1,1,10.1.0.5,10.1.0.1,0.966286,0.00622452
2021-05-24 22:05,1,1,10.1.10.9,10.1.10.1,0.973119,0.00232249
2021-05-24 22:05,1,1,10.1.9.2,10.1.9.1,0.066805,0.439808
2021-05-24 22:05,1,1,10.1.4.5,10.1.4.1,0.315553,0.40551
2021-05-24 22:05,1,1,10.1.17.11,10.1.17.1,0.960679,0.0099284
2021-05-24 22:05,1,1,10.1.2.2,10.1.2.1,4.14086,0.0027637
2021-05-24 22:05,1,1,10.1.15.10,10.1.15.1,0.923744,0.0595373
2021-05-24 22:05,1,1,10.1.13.7,10.1.13.1,0.970201,0.00596776
2021-05-24 22:05,1,1,10.1.1.11,10.1.1.1,0.967165,0.00328973
2021-05-24 22:05,1,1,10.1.4.6,10.1.4.1,0.929031,0.0406266
2021-05-24 22:05,1,1,10.1.10.5,10.1.10.1,0.933024,0.0424582
2021-05-24 22:05,1,1,10.1.6.8,10.1.6.1,0.0561439,0.328054
